frame_ts,led_index,blob_idx,cx_px,cy_px,area_px2,circularity,raw_cx_px,raw_cy_px
1764212246.7470195,0,-1,,,,,,
1764212246.9333348,1,-1,,,,,,
1764212247.0252836,2,-1,,,,,,
1764212247.1118062,3,-1,,,,,,
1764212247.2020907,4,-1,,,,,,
1764212247.2947097,0,-1,,,,,,
1764212247.382593,1,0,663,374,489,0.86,663,367
1764212247.4725633,2,-1,,,,,,
1764212247.5608454,3,-1,,,,,,
1764212247.6501312,4,-1,,,,,,
1764212247.7417805,0,-1,,,,,,
1764212247.830142,1,0,668,373,460,0.88,668,366
1764212247.9196312,2,-1,,,,,,
1764212248.009689,3,-1,,,,,,
1764212248.0997114,4,-1,,,,,,
1764212248.190656,0,-1,,,,,,
1764212248.2805293,1,0,668,372,464,0.91,668,365
1764212248.3690825,2,-1,,,,,,
1764212248.461775,3,-1,,,,,,
1764212248.5522807,4,-1,,,,,,
1764212248.641375,0,-1,,,,,,
1764212248.7325525,1,0,669,371,466,0.88,669,364
1764212248.822453,2,0,588,376,326,0.89,588,369
1764212248.912821,3,-1,,,,,,
1764212249.00433,4,-1,,,,,,
1764212249.0932152,0,-1,,,,,,
1764212249.18421,1,0,664,316,548,0.89,664,309
1764212249.273421,2,0,584,321,528,0.85,584,314
1764212249.3605545,3,-1,,,,,,
1764212249.4518373,4,-1,,,,,,
1764212249.5423057,0,-1,,,,,,
1764212249.6317177,1,0,675,303,520,0.87,675,296
1764212249.7249737,2,0,595,314,498,0.85,595,307
1764212249.8118813,3,-1,,,,,,
1764212249.9021974,4,-1,,,,,,
1764212249.9949226,0,-1,,,,,,
1764212250.085251,1,0,677,306,520,0.9,677,299
1764212250.1684988,2,0,598,315,498,0.86,598,308
1764212250.2631078,3,-1,,,,,,
1764212250.3498485,4,-1,,,,,,
1764212250.440862,0,-1,,,,,,
1764212250.5314534,1,0,683,309,496,0.9,683,302
1764212250.6220372,2,0,603,319,488,0.88,603,312
1764212250.7131994,3,-1,,,,,,
1764212250.8004193,4,-1,,,,,,
1764212250.8964243,0,-1,,,,,,
1764212250.9822528,1,0,683,309,494,0.89,683,302
1764212251.0710428,2,0,602,320,478,0.88,602,313
1764212251.1645362,3,-1,,,,,,
1764212251.252436,4,-1,,,,,,
1764212251.3402224,0,-1,,,,,,
1764212251.5245235,1,0,684,311,484,0.87,684,304
1764212251.6154225,2,0,603,322,468,0.88,603,315
1764212251.7037582,3,-1,,,,,,
1764212251.7919765,4,-1,,,,,,
1764212251.8846688,0,-1,,,,,,
1764212251.9724674,1,0,686,314,474,0.9,686,307
1764212252.0641544,2,0,606,324,467,0.88,606,317
1764212252.1531699,3,-1,,,,,,
1764212252.2434509,4,-1,,,,,,
1764212252.3335147,0,-1,,,,,,
1764212252.4234264,1,0,689,316,469,0.89,689,309
1764212252.5126228,2,0,607,324,468,0.88,607,317
1764212252.6024795,3,-1,,,,,,
1764212252.6939845,4,-1,,,,,,
1764212252.782838,0,-1,,,,,,
1764212252.8733535,1,0,689,316,466,0.89,689,309
1764212252.9646072,2,0,607,325,469,0.87,607,318
1764212253.056507,3,-1,,,,,,
1764212253.1439638,4,-1,,,,,,
1764212253.2345998,0,-1,,,,,,
1764212253.3231602,1,0,691,315,462,0.86,691,308
1764212253.4130802,2,0,608,323,467,0.86,608,316
1764212253.5026042,3,-1,,,,,,
1764212253.5923855,4,-1,,,,,,
1764212253.6830804,0,-1,,,,,,
1764212253.7736099,1,0,689,312,464,0.89,689,305
1764212253.8639667,2,0,607,319,486,0.88,607,312
1764212253.952707,3,-1,,,,,,
1764212254.0428727,4,-1,,,,,,
1764212254.1328855,0,-1,,,,,,
1764212254.222484,1,0,687,311,496,0.88,687,304
1764212254.3127534,2,0,606,321,502,0.88,606,314
1764212254.4028807,3,-1,,,,,,
1764212254.4929452,4,-1,,,,,,
1764212254.583381,0,-1,,,,,,
1764212254.674353,1,0,671,308,557,0.87,671,301
1764212254.7693057,2,0,583,317,572,0.85,583,310
1764212254.8549411,3,-1,,,,,,
1764212254.944123,4,-1,,,,,,
1764212255.0334752,0,-1,,,,,,
